id,weight,age,sex,race,region,res16,marital,educ,degree,income16,class,occ10,prestg10,finrela,satfin,partyid,polviews,relig,attend,childs,happy,health,tvhours,usewww,getahead
2022-21,1.8111678107535487,34,Female,Other,Middle Atlantic,"in a large city (over 250,000)",Married,10th Grade,High school,"$40,000 to $49,999",Working Class,,Low,Below average,More or less satisfied,Independent,Conservative,Protestant,Every Week,3,Pretty Happy,Good,1,,
2022-22,1.358934837899157,55,Female,Black,Middle Atlantic,"in a small city or town (under 50,000)",Married,12th Grade,High school,"$12,500 to $14,999",Working Class,Service occupations,Low,Below average,More or less satisfied,Independent,Extremely Conservative,Other,Never,5,Not Too Happy,Poor,12,,
2022-23,0.5032689647947736,65,Male,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Widowed,4 Years College,Bachelor's,"$35,000 to $39,999",Working Class,,Low,Below average,More or less satisfied,Strong Republican,Conservative,Catholic,Less Than Once A Year,0,Not Too Happy,Good,2,,
2022-24,1.1012771157658163,60,Female,Black,Middle Atlantic,"in a medium-size city (50,000-250,000)",Married,2 Years College,Associate/Junior college,"$75,000 to $89,999",Working Class,,High,Far below average,Not Satisfied,"Independent, Near Democrat",Slightly Liberal,None,Never,3,Pretty Happy,Good,1,,
2022-25,1.3572170517581343,28,Male,White,Middle Atlantic,"in a small city or town (under 50,000)",Never Married,1 Year College,High school,"Under $1,000",Middle Class,,High,Average,More or less satisfied,Other,Moderate,None,Once A Year,2,Very Happy,Fair,0,,
2022-26,0.47853928357742775,82,Female,White,Middle Atlantic,in a suburb near a large city,Widowed,12th Grade,High school,"$30,000 to $34,999",Working Class,,Low,Below average,Not Satisfied,Strong Republican,Extremely Conservative,Protestant,Every Week,3,Pretty Happy,Good,5,,
2022-27,0.5983262570053123,59,Male,Other,Middle Atlantic,"in a large city (over 250,000)",Married,12th Grade,High school,"$170,000 or over",Working Class,,High,Average,More or less satisfied,Strong Democrat,Liberal,Catholic,Never,1,Pretty Happy,Excellent,,,Luck
2022-28,9.15365026586938,86,Female,Black,Middle Atlantic,"in a medium-size city (50,000-250,000)",Widowed,12th Grade,High school,"$150,000 to $169,999",Working Class,,Low,Average,Not Satisfied,Strong Democrat,Moderate,Protestant,Once A Month,0,Pretty Happy,Good,1,No,
2022-29,0.1312393582681114,36,Male,Other,Middle Atlantic,"in a large city (over 250,000)",Married,4 Years College,Bachelor's,"$50,000 to $59,999",Middle Class,Military specific occupations,High,Average,Not Satisfied,Democrat,Moderate,Catholic,Every Week,1,Not Too Happy,Fair,,,Connections
2022-30,1.1075995695054142,79,Female,White,Middle Atlantic,"in a small city or town (under 50,000)",Married,12th Grade,High school,,Middle Class,,Low,Average,Satisfied,Strong Republican,Extremely Conservative,Protestant,Never,2,Not Too Happy,Good,3,,
2022-31,0.34004047928443193,65,Male,Other,Middle Atlantic,in a suburb near a large city,Married,2 Years College,High school,"$110,000 to $129,999",Working Class,,Low,Average,Not Satisfied,Independent,Moderate,None,Never,2,Pretty Happy,Good,,,
2022-33,0.47853928357742775,76,Female,White,Middle Atlantic,"in a small city or town (under 50,000)",Divorced,12th Grade,High school,"$10,000 to $12,499",Lower Class,Service occupations,Low,Below average,Not Satisfied,Independent,Extremely Liberal,None,Never,4,Pretty Happy,Poor,10,,
2022-34,3.1141341345654525,72,Female,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Divorced,4 Years College,Bachelor's,"$75,000 to $89,999",Working Class,,High,Average,Satisfied,"Independent, Near Democrat",Slightly Liberal,Other,Every Week,2,Pretty Happy,Poor,,,Hard Work
2022-35,0.5613500662733105,62,Female,White,Middle Atlantic,in a suburb near a large city,Widowed,1 Year College,High school,"$25,000 to $29,999",Lower Class,,Low,Below average,Not Satisfied,Strong Democrat,Moderate,None,Never,1,Pretty Happy,Good,4,,Connections
2022-36,1.0481231309247578,46,Male,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Never Married,2 Years College,Associate/Junior college,"$40,000 to $49,999",Working Class,,Low,Above average,Not Satisfied,Democrat,Slightly Liberal,Catholic,Once A Year,0,Not Too Happy,Fair,3,,Connections
2022-37,2.261590048769243,84,Male,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Widowed,3 Years College,Associate/Junior college,"$50,000 to $59,999",Middle Class,,High,Above average,More or less satisfied,Other,Extremely Conservative,Catholic,Every Week,2,Pretty Happy,Poor,3,,
2022-38,1.1796373222194736,79,Male,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Married,12th Grade,High school,"$40,000 to $49,999",Working Class,,Low,Below average,Not Satisfied,"Independent, Near Republican",Moderate,Catholic,Several Times A Year,2,Pretty Happy,Good,5,,
2022-39,0.8549608977485167,38,Female,White,Middle Atlantic,in a suburb near a large city,Married,4 Years College,Bachelor's,"$170,000 or over",Middle Class,,High,Above average,More or less satisfied,Independent,Moderate,Catholic,Once A Year,2,Pretty Happy,Fair,2,,
2022-40,0.5978600093733024,64,Male,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Divorced,1 Year College,High school,"$110,000 to $129,999",Working Class,,Low,Average,Not Satisfied,Republican,Moderate,None,Once A Year,2,Pretty Happy,Excellent,,,Connections
2022-41,1.6869020026262163,49,Female,White,Middle Atlantic,in a suburb near a large city,Married,4 Years College,Bachelor's,"$150,000 to $169,999",Working Class,,High,Above average,More or less satisfied,Republican,Moderate,Jewish,2-3 Times A Month,6,Pretty Happy,Good,0,,
2022-42,0.47853928357742775,65,Female,White,Middle Atlantic,in a suburb near a large city,Widowed,3 Years College,High school,"$5,000 to $5,999",Working Class,,Low,Below average,More or less satisfied,"Independent, Near Democrat",Liberal,Catholic,2-3 Times A Month,0,Pretty Happy,Good,,,
2022-43,5.03678595657775,29,Female,Other,Middle Atlantic,in a suburb near a large city,Never Married,4 Years College,Bachelor's,"$40,000 to $49,999",Middle Class,,Low,Below average,Not Satisfied,Democrat,Liberal,Protestant,Several Times A Year,0,Not Too Happy,Good,2,,
2022-45,0.3316356160433391,30,Female,Black,Middle Atlantic,in a suburb near a large city,Never Married,2 Years College,High school,"Under $1,000",Lower Class,,Low,Far below average,Not Satisfied,Independent,Moderate,Other,Several Times A Year,1,Pretty Happy,Fair,,,
2022-46,0.36953854732070246,50,Female,Black,Middle Atlantic,"in a large city (over 250,000)",Divorced,5+ Years College,Bachelor's,"$110,000 to $129,999",Working Class,,High,Above average,More or less satisfied,"Independent, Near Democrat",Liberal,None,Once A Year,1,Not Too Happy,Good,,,Connections
2022-47,0.40313490890340703,32,Female,Black,Middle Atlantic,in a suburb near a large city,Never Married,12th Grade,High school,"$40,000 to $49,999",Working Class,,Low,Below average,Not Satisfied,Independent,Slightly Liberal,None,Once A Year,3,Pretty Happy,Good,1,,Luck
2022-48,1.0747142402867618,52,Male,White,Middle Atlantic,in a suburb near a large city,Married,4 Years College,Bachelor's,"$170,000 or over",Middle Class,,High,Above average,More or less satisfied,Strong Republican,Conservative,Catholic,Nearly Every Week,3,Pretty Happy,Good,1,,
2022-50,1.1075995695054142,70,Female,White,Middle Atlantic,in a suburb near a large city,Married,2 Years College,High school,"$150,000 to $169,999",Middle Class,,Low,Above average,Satisfied,"Independent, Near Republican",Moderate,Catholic,Nearly Every Week,3,Very Happy,Good,,,
2022-51,2.0181678003258163,59,Female,White,Middle Atlantic,"in a small city or town (under 50,000)",Married,4 Years College,Bachelor's,"$170,000 or over",Middle Class,,Low,Far above average,Satisfied,Strong Democrat,Liberal,Protestant,Once A Year,4,Very Happy,Good,,,
2022-52,1.3736476792169838,46,Male,Other,Middle Atlantic,"in a large city (over 250,000)",Married,4 Years College,Bachelor's,"$170,000 or over",Middle Class,"Management, professional, and related occupations",High,Above average,More or less satisfied,Democrat,Liberal,None,Never,2,Very Happy,Good,3,,
2022-53,1.0144277430194646,43,Female,Other,Middle Atlantic,in a suburb near a large city,Married,4 Years College,Graduate,"$170,000 or over",Middle Class,,High,Above average,Satisfied,"Independent, Near Republican",Slightly Conservative,,Less Than Once A Year,0,Pretty Happy,Fair,,,
2022-54,1.3837724753880734,60,Male,White,Middle Atlantic,"in a small city or town (under 50,000)",Married,12th Grade,High school,"$90,000 to $109,999",Working Class,,Low,Average,More or less satisfied,Strong Democrat,Slightly Liberal,Catholic,Never,5,Very Happy,Excellent,1,,
2022-55,6.245016412572775,38,Male,White,Middle Atlantic,"in a large city (over 250,000)",Married,12th Grade,High school,"$170,000 or over",Middle Class,,Low,Above average,Satisfied,Democrat,Liberal,Jewish,Never,1,Very Happy,Good,,,Hard Work
2022-56,2.249718999636499,66,Male,White,Middle Atlantic,"in a large city (over 250,000)",Married,2 Years College,High school,,Middle Class,,Low,Average,More or less satisfied,"Independent, Near Republican",Moderate,Jewish,Several Times A Year,3,Not Too Happy,Poor,2,,
2022-57,0.5400714737475938,28,Female,Black,Middle Atlantic,"in a large city (over 250,000)",Divorced,2 Years College,High school,"$30,000 to $34,999",Working Class,,Low,Below average,Not Satisfied,"Independent, Near Democrat",,None,Never,3,,Good,4,Yes,
2022-58,0.5400714737475938,20,Female,Black,Middle Atlantic,"in a large city (over 250,000)",Never Married,1 Year College,High school,"$6,000 to $6,999",Lower Class,,High,Average,Not Satisfied,Democrat,Liberal,,Never,1,Very Happy,Excellent,6,,Hard Work
2022-59,0.4617900135488502,62,Female,White,Middle Atlantic,"in a small city or town (under 50,000)",Never Married,2 Years College,High school,"$12,500 to $14,999",Middle Class,Service occupations,Low,Below average,Not Satisfied,Strong Democrat,Slightly Conservative,Catholic,Every Week,4,Not Too Happy,Good,,,Hard Work
2022-60,1.594407270532511,36,Female,White,Middle Atlantic,"in a large city (over 250,000)",Never Married,12th Grade,Less than high school,,Lower Class,,Low,Far below average,Not Satisfied,Democrat,Slightly Liberal,Catholic,Several Times A Year,1,Not Too Happy,Fair,0,,Connections
2022-61,0.3717342122591148,49,Female,White,Middle Atlantic,in a suburb near a large city,Never Married,10th Grade,Less than high school,"$25,000 to $29,999",Middle Class,,Low,Average,Not Satisfied,Strong Democrat,Moderate,,,1,Not Too Happy,Fair,,,Hard Work
2022-62,0.3077336583119621,30,Female,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Separated,12th Grade,High school,"Under $1,000",Working Class,,Low,Far below average,Not Satisfied,Independent,Conservative,Other,Every Week,3,Pretty Happy,Good,,,Connections
2022-63,4.785185729116399,62,Female,Other,Middle Atlantic,in open country but not on a farm,Divorced,9th Grade,Less than high school,"$17,500 to $19,999",Lower Class,,Low,Below average,Not Satisfied,Strong Republican,Conservative,None,Never,3,Very Happy,Good,2,,
2022-65,0.459644488436635,73,Female,Other,Middle Atlantic,in open country but not on a farm,Widowed,8th Grade,Less than high school,"$8,000 to $9,999",Working Class,,Low,Below average,More or less satisfied,,Extremely Conservative,,Several Times A Year,3,Not Too Happy,Poor,,,Hard Work
2022-66,0.47069990444463344,34,Female,Black,Middle Atlantic,"in a large city (over 250,000)",Never Married,12th Grade,Less than high school,,Lower Class,,High,Far below average,Satisfied,Independent,Extremely Liberal,None,Never,8,Not Too Happy,Excellent,4,Yes,
2022-67,0.628761083071885,47,Female,White,Middle Atlantic,"in a large city (over 250,000)",Never Married,4 Years College,Bachelor's,"$30,000 to $34,999",Working Class,,Low,Average,More or less satisfied,Independent,Moderate,None,Never,1,Not Too Happy,Fair,,,
2022-68,0.40478773228030956,47,Female,White,Middle Atlantic,"in a small city or town (under 50,000)",Separated,3 Years College,High school,"$1,000 to $2,999",Middle Class,,Low,Below average,More or less satisfied,"Independent, Near Democrat",Extremely Liberal,Catholic,2-3 Times A Month,4,Not Too Happy,Good,1,,Hard Work
2022-69,0.36953854732070246,58,Female,Black,Middle Atlantic,in a suburb near a large city,Divorced,5+ Years College,Bachelor's,"$60,000 to $74,999",Middle Class,,High,Above average,More or less satisfied,Democrat,Slightly Liberal,Other,Several Times A Year,5,Pretty Happy,Fair,,,Luck
2022-70,2.288412566467345,82,Female,Black,Middle Atlantic,"in a small city or town (under 50,000)",Divorced,12th Grade,High school,"$15,000 to $17,499",Working Class,,Low,Below average,More or less satisfied,Democrat,Moderate,Other,Less Than Once A Year,2,Not Too Happy,Good,4,,
2022-71,0.8639944851917482,67,Male,Black,Middle Atlantic,"in a large city (over 250,000)",Widowed,12th Grade,High school,"$30,000 to $34,999",Middle Class,,,Below average,More or less satisfied,Strong Democrat,Moderate,Other,2-3 Times A Month,2,Pretty Happy,Good,4,,Hard Work
2022-72,1.530918708297937,41,Male,Black,Middle Atlantic,"in a large city (over 250,000)",Separated,2 Years College,High school,"$90,000 to $109,999",Working Class,,Low,Above average,More or less satisfied,Independent,Moderate,Catholic,Less Than Once A Year,0,Pretty Happy,Good,2,,
2022-73,0.6261937349688842,32,Female,Black,Middle Atlantic,"in a large city (over 250,000)",Never Married,4 Years College,Bachelor's,"$170,000 or over",Lower Class,,Low,Average,Not Satisfied,Democrat,Moderate,Protestant,Once A Year,0,Pretty Happy,Fair,0,,
2022-74,0.6021399803657838,65,Female,Black,Middle Atlantic,"in a medium-size city (50,000-250,000)",Divorced,9th Grade,Less than high school,"$30,000 to $34,999",Working Class,Service occupations,Low,Below average,Not Satisfied,Democrat,,Protestant,2-3 Times A Month,3,Pretty Happy,Good,0,No,Hard Work
2022-76,2.859013680570241,55,Male,Black,Middle Atlantic,"in a small city or town (under 50,000)",Divorced,12th Grade,High school,"$50,000 to $59,999",Lower Class,Service occupations,Low,Average,More or less satisfied,Strong Democrat,,,Once A Year,4,Not Too Happy,Fair,1,,
2022-77,1.4207910293224917,86,Female,Black,Middle Atlantic,"in a large city (over 250,000)",Widowed,9th Grade,Less than high school,,Working Class,,Low,Below average,More or less satisfied,Strong Democrat,,Protestant,Every Week,4,Not Too Happy,Poor,,,
2022-79,1.5216593291346006,62,Female,White,Middle Atlantic,"in a large city (over 250,000)",Divorced,12th Grade,High school,"$40,000 to $49,999",Working Class,,Low,Below average,More or less satisfied,Republican,Slightly Conservative,Catholic,Several Times A Year,2,Very Happy,Excellent,3,,
2022-80,0.5332956813692361,23,Female,Black,Middle Atlantic,"in a large city (over 250,000)",Never Married,5+ Years College,Bachelor's,,Lower Class,,High,Below average,Not Satisfied,Democrat,,Catholic,Never,0,,Fair,2,,
2022-82,2.396524106206523,22,Female,Black,Middle Atlantic,in a suburb near a large city,Never Married,2 Years College,High school,"$30,000 to $34,999",Working Class,,Low,Below average,Not Satisfied,"Independent, Near Democrat",Liberal,None,Once A Year,0,Not Too Happy,Fair,,,Hard Work
2022-83,1.2129628313085985,44,Male,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Married,3 Years College,Associate/Junior college,"$130,000 to $149,999",Middle Class,,Low,Above average,Satisfied,Strong Democrat,Extremely Liberal,None,Less Than Once A Year,1,Pretty Happy,Good,3,,
2022-84,1.6015206019028068,24,Female,Other,Middle Atlantic,"in a large city (over 250,000)",Never Married,3 Years College,High school,"$30,000 to $34,999",Working Class,,High,Below average,Not Satisfied,Independent,Moderate,Other,Never,0,Pretty Happy,Good,,,
2022-87,1.7255924017284168,22,Male,Black,Middle Atlantic,"in a large city (over 250,000)",Never Married,3 Years College,High school,"$15,000 to $17,499",Working Class,,,Below average,Satisfied,Democrat,Liberal,None,Never,0,Very Happy,Fair,0,,
2022-88,2.403298703525928,34,Male,Other,Middle Atlantic,"in a large city (over 250,000)",Never Married,4 Years College,Bachelor's,"$60,000 to $74,999",Working Class,,Low,Above average,Not Satisfied,"Independent, Near Democrat",Slightly Liberal,None,Never,0,Not Too Happy,Fair,2,,Luck
2022-89,0.44673016700188245,26,Male,Black,Middle Atlantic,"in a medium-size city (50,000-250,000)",Never Married,4 Years College,Bachelor's,"$110,000 to $129,999",Working Class,,High,Above average,Satisfied,Strong Democrat,Liberal,,Never,0,Pretty Happy,Excellent,2,,
2022-91,0.8549608977485167,36,Female,White,Middle Atlantic,"in a small city or town (under 50,000)",Married,4 Years College,Bachelor's,"$170,000 or over",Middle Class,,High,Average,Satisfied,"Independent, Near Democrat",Liberal,None,Never,1,Very Happy,Excellent,1,,Luck
2022-92,2.396524106206523,29,Female,Black,Middle Atlantic,in a suburb near a large city,Never Married,3 Years College,High school,,Working Class,,Low,Average,More or less satisfied,"Independent, Near Democrat",Slightly Liberal,None,Once A Year,0,Pretty Happy,Excellent,2,,Hard Work
2022-93,0.9781457836916682,47,Male,Other,Middle Atlantic,"in a large city (over 250,000)",Never Married,12th Grade,High school,"$90,000 to $109,999",Lower Class,,Low,Far below average,Not Satisfied,Strong Republican,Moderate,Protestant,Once A Year,0,Not Too Happy,Fair,2,,
2022-94,0.2391013308335801,58,Female,Black,Middle Atlantic,"in a large city (over 250,000)",Never Married,4 Years College,Bachelor's,"$50,000 to $59,999",Working Class,,High,Above average,Not Satisfied,"Independent, Near Democrat",Liberal,,Every Week,0,Very Happy,Excellent,2,,
2022-95,0.40701519737299374,46,Male,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Never Married,4 Years College,Bachelor's,"$40,000 to $49,999",Middle Class,,High,Below average,More or less satisfied,Strong Democrat,Liberal,None,Never,0,Not Too Happy,Good,1,,
2022-96,2.518392978288875,29,Female,Other,Middle Atlantic,"in a large city (over 250,000)",Never Married,4 Years College,Bachelor's,"$90,000 to $109,999",Working Class,,Low,Above average,More or less satisfied,"Independent, Near Democrat",Liberal,,Never,0,Pretty Happy,Good,2,,Connections
2022-97,1.1388899659903398,46,Female,White,Middle Atlantic,"in a large city (over 250,000)",Married,4 Years College,High school,"$60,000 to $74,999",Working Class,,Low,Below average,Not Satisfied,Republican,Moderate,,2-3 Times A Month,2,Pretty Happy,Good,1,,
2022-98,0.41927028144393036,71,Male,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Separated,2 Years College,Associate/Junior college,,Working Class,,High,Below average,More or less satisfied,Strong Democrat,Moderate,Catholic,Once A Year,2,Very Happy,Good,,,
2022-99,5.861182641918049,28,Male,Other,Middle Atlantic,"in a medium-size city (50,000-250,000)",Married,4 Years College,Bachelor's,"$35,000 to $39,999",Working Class,,Low,Average,More or less satisfied,Independent,Slightly Liberal,,Several Times A Year,2,Pretty Happy,Good,2,,
2022-100,0.9392897373942181,38,Female,White,Middle Atlantic,"in a large city (over 250,000)",Never Married,4 Years College,Bachelor's,,Middle Class,,High,Average,More or less satisfied,"Independent, Near Republican",Moderate,Jewish,Once A Month,0,Pretty Happy,Good,0,,Connections
2022-101,0.5751974672428056,25,Male,Black,Middle Atlantic,"in a large city (over 250,000)",Never Married,2 Years College,Associate/Junior college,"$50,000 to $59,999",Working Class,,Low,Above average,Not Satisfied,Democrat,Moderate,None,Never,0,Pretty Happy,Good,,,Luck
2022-102,0.3693865425371946,34,Female,White,Middle Atlantic,"in a large city (over 250,000)",Never Married,4 Years College,Bachelor's,"$60,000 to $74,999",Middle Class,,High,Average,More or less satisfied,Independent,Moderate,Catholic,Never,0,Pretty Happy,Good,,,
2022-103,0.8245287951785972,26,Female,Other,Middle Atlantic,"in a large city (over 250,000)",Never Married,2 Years College,Associate/Junior college,"$17,500 to $19,999",Working Class,,Low,Below average,More or less satisfied,"Independent, Near Democrat",Moderate,Catholic,Several Times A Year,3,Pretty Happy,Good,,,
2022-104,3.8906236682652193,63,Male,White,Middle Atlantic,"in a large city (over 250,000)",Separated,4 Years College,Bachelor's,"$60,000 to $74,999",Middle Class,,Low,Average,Not Satisfied,Democrat,Slightly Conservative,Catholic,More Than Once A Week,1,Not Too Happy,Fair,3,Yes,
2022-105,0.4580857948513077,82,Male,White,Middle Atlantic,"in a large city (over 250,000)",Married,4 Years College,Bachelor's,"$50,000 to $59,999",Upper Class,,High,Average,Satisfied,Strong Republican,Conservative,Protestant,Once A Year,1,,Fair,,,Hard Work
2022-107,4.180289620700683,40,Male,White,Middle Atlantic,"in a small city or town (under 50,000)",Married,4 Years College,Bachelor's,"$170,000 or over",Middle Class,,High,Above average,More or less satisfied,Independent,Moderate,Jewish,Several Times A Year,2,Pretty Happy,Good,2,,
2022-108,1.3359074393370733,71,Male,Other,Middle Atlantic,in a suburb near a large city,Married,5+ Years College,Bachelor's,"$130,000 to $149,999",Working Class,,High,Average,More or less satisfied,Independent,Moderate,Protestant,2-3 Times A Month,0,Pretty Happy,Good,,,
2022-109,1.2992686558522741,63,Female,White,Middle Atlantic,in a suburb near a large city,Married,1 Year College,High school,,Middle Class,,Low,Above average,More or less satisfied,Strong Republican,Conservative,Catholic,Once A Year,3,Pretty Happy,Good,0,Yes,
2022-110,0.9570785671548555,89,Female,White,Middle Atlantic,in a suburb near a large city,Widowed,3 Years College,High school,"$20,000 to $22,499",Middle Class,,Low,Average,Satisfied,Strong Democrat,Moderate,Catholic,Once A Year,7,Pretty Happy,Fair,4,,
2022-111,1.3837724753880734,61,Male,White,Middle Atlantic,"in a small city or town (under 50,000)",Married,4 Years College,High school,,Middle Class,,Low,Above average,More or less satisfied,Strong Republican,Conservative,Catholic,Every Week,3,Very Happy,Good,3,,
2022-112,1.7906756566265813,52,Male,Other,Middle Atlantic,in a suburb near a large city,Married,12th Grade,High school,"$35,000 to $39,999",Working Class,,Low,Below average,Not Satisfied,"Independent, Near Democrat",Slightly Liberal,Catholic,Less Than Once A Year,3,Very Happy,Good,6,,Hard Work
2022-113,1.9711084797783687,48,Male,Black,Middle Atlantic,in a suburb near a large city,Never Married,3 Years College,Associate/Junior college,"$150,000 to $169,999",Working Class,,High,Above average,More or less satisfied,Democrat,Liberal,Protestant,Never,0,Not Too Happy,Good,,,Connections
2022-114,0.40701519737299374,40,Male,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Never Married,4 Years College,Bachelor's,"$110,000 to $129,999",Middle Class,,High,Above average,More or less satisfied,"Independent, Near Democrat",Liberal,Catholic,Once A Year,0,Pretty Happy,Good,2,,
2022-116,1.747604739745311,44,Male,White,Middle Atlantic,in a suburb near a large city,Married,12th Grade,Less than high school,"$75,000 to $89,999",Working Class,,Low,Below average,More or less satisfied,Independent,Slightly Conservative,Protestant,Never,3,Very Happy,Good,2,,
2022-117,4.427808348065113,42,Male,Other,Middle Atlantic,in open country but not on a farm,Married,12th Grade,High school,"$30,000 to $34,999",Working Class,,Low,Below average,Not Satisfied,"Independent, Near Democrat",Moderate,Protestant,Nearly Every Week,3,Pretty Happy,Good,2,,
2022-118,0.21802977125486994,46,Male,Other,Middle Atlantic,"in a small city or town (under 50,000)",Separated,4 Years College,Bachelor's,"$50,000 to $59,999",Working Class,,Low,Average,Not Satisfied,Independent,Moderate,None,Never,0,Pretty Happy,Good,0,,
2022-119,0.5587419746546174,70,Female,White,Middle Atlantic,"in a large city (over 250,000)",Widowed,9th Grade,Less than high school,"$1,000 to $2,999",Middle Class,,Low,Average,More or less satisfied,Democrat,Slightly Liberal,Catholic,2-3 Times A Month,2,Pretty Happy,Fair,5,Yes,
